Department_code,Department_description
ABR017,Army Base Repair Organisation
AFS902,"Armed Forces Retired Pay, Pensions etc"
BTI013,UK Trade & Investment
BWB003,British Waterways Board
CAB010,Cabinet Office
CEN083,HMT Central Exchequer not in HMT Accounts but in HMT DEL
CES014,Crown Estate Office
CEX086,HMT Central Exchequer
CHC009,Charity Commission
CHI033,Commission for Health Improvement
CIT022,Construction Industry Training Board - from 07-08 CIT063 and from 09-10 CIT084
CJA047,Commission for Judicial Appointments
COH084,Companies House
COI010,Central Office of Information
CPS016,The Crown Prosecution Service
CSC033,Commission for Social Care Inspection for England
DAN017,Defence Aviation Repair Agency
DCM048,"Department for Culture, Media and Sport"
DEC066,Department of Energy and Climate Change
DES022,"Department for Children, Schools and Families"
DFT004,Department for Transport
DID030,Department for International Development
DIS063,"Department for Innovation, Universities and Skills"
DNS049,National Savings and Investments
DOH033,Department of Health
DPM085,Department for Communities and Local Government
DST017,Defence Science and Technology Laboratory
DTI084,Department for Business Innovation and Skills
DWP032,Department for Work and Pensions
ECG025,Export Credits Guarantee Department
EFR003,"Department for Environment, Food and Rural Affairs"
EIT022,Engineering Construction Industry Training Board - from 07-08 EIT063 and from 09
ELC011,Electoral Commission
English LG Adjustment/Input,English Local Government Adjustment/Input
FCO027,Foreign and Commonwealth Office
FSA026,Food Standards Agency
FSS034,Forensic Science Service
GAD031,Government Actuary's Department
GEO064,Government Equalities Office
HGT089,HM Procurator General and Treasury Solicitor
HMT087,HM Treasury
HOA038,House of Commons: Administration
HOC036,House of Commons: Members
HOF034,Home Office
HOL037,House of Lords
HYO017,UK Hydrographic Office
ILR041,HM Revenue and Customs
ILS081,Northern Ireland Legal Services Commission
IPO034,Independent Police Complaints Commission
IPS069,Independent Parliamentary Standards Authority
ISC034,Office of the Immigration Services Commissioner
JPS908,Ministry of Justice: Judicial Pensions Scheme
LAS096,Local authorities self-financed expenditure
LCD047,Ministry of Justice
LEC047,Legal Services Commission
LRG045,Land Registry
LSC022,Learning and Skills Council - from 07-08 LSC063 and from 09-10 LSC084
MEO017,Meteorological Office
MIR033,Monitor - Independent Regulator of NHS Foundation Trusts
MOD017,Ministry of Defence
NAF017,"Navy, Army and Air Force Institute"
NAO050,National Audit Office
NAW090,National Assembly for Wales
NHE033,National Health Service Trusts
NHP903,National Health Service Pension Scheme
NIC081,Northern Ireland Court Service
NIE099,Northern Ireland Executive
NIO097,Northern Ireland Office
NJC081,Northern Ireland Judicial Appointments Commission
NRG084,British Energy
NSG062,National School of Government
Northern Irish LG Adjustment/Input,Northern Irish Local Government Adjustment/Input
OFT074,Office of Fair Trading
OGE020,Office of Gas and Electricity Markets
OIC047,Office of the Information Commissioner
OIS022,"Office for Standards in Education, Children's Services and Skills"
ONS005,Office for National Statistics
OPC060,Office of the Parliamentary Commissioner for Administration and Health Se...
ORR088,Office of Rail Regulation
OSS907,Department for International Development: Overseas Superannuation
OWS057,Water Services Regulation Authority
Organisation.NA,
PCO065,Privy Council Office
PCS901,Cabinet Office: Civil superannuation
PHL033,Public Health Laboratory Service
PPF032,Pension Protection Fund
PRO067,The National Archives
PSC006,Postal Services Commission
RCP046,Revenue and Customs Prosecutions Office
REL032,Remploy Ltd
RMH084,Royal Mail Holdings plc
SCO042,Scotland Office
SCT075,Scottish Government
SFO019,Serious Fraud Office
SIY034,Security Industry Authority
Scottish LG Adjustment/Input,Scottish Local Government Adjustment/Input
TPS904,Teachers' Pension Scheme (England & Wales)
TSC068,The Supreme Court
UKP905,"Department for Business, Enterprise & Regulatory Reform: UKAEA pension schemes"
WAG090,Welsh Assembly Government
WOF091,Wales Office
Welsh LG Adjustment/Input,Welsh Local Government Adjustment/Input
